Student_ID,Name,Gender,Age,Department,Attendance,Maths,Python,SQL,CGPA
S084,Student_84,Female,20.0,AI & DS,77.0,81.0,41.0,52.0,8.14
S054,Student_54,Female,,ECE,81.0,86.0,47.0,50.0,7.46
S071,Student_71,Female,18.0,ECE,100.0,68.0,91.0,47.0,5.2
S046,Student_46,Female,17.0,AI & DS,76.0,42.0,71.0,49.0,9.31
S045,Student_45,Female,18.0,EEE,66.0,94.0,96.0,48.0,8.11
S040,Student_40,Male,19.0,ECE,62.0,83.0,98.0,54.0,9.52
S023,Student_23,Female,17.0,ECE,89.0,,63.0,96.0,9.26
S081,Student_81,Male,21.0,ECE,87.0,85.0,43.0,39.0,8.45
S011,Student_11,Male,22.0,AI & DS,74.0,73.0,69.0,88.0,5.65
S001,Student_1,Male,22.0,IT,66.0,81.0,92.0,72.0,9.32
S019,Student_19,Female,21.0,ECE,94.0,41.0,67.0,95.0,8.36
S031,Student_31,Male,17.0,CSE,70.0,97.0,68.0,78.0,8.1
S074,Student_74,Female,19.0,ECE,95.0,50.0,76.0,40.0,5.89
S034,Student_34,Female,17.0,CSE,87.0,92.0,63.0,79.0,5.68
S091,Student_91,Female,18.0,IT,57.0,44.0,61.0,83.0,8.74
S005,Student_5,Male,21.0,IT,63.0,36.0,58.0,79.0,7.78
S077,Student_77,Female,21.0,AI & DS,83.0,97.0,48.0,100.0,7.3
S078,Student_78,Female,20.0,AI & DS,100.0,56.0,39.0,44.0,6.03
S013,Student_13,Male,22.0,,87.0,60.0,67.0,53.0,8.03
S032,Student_32,Male,17.0,IT,95.0,85.0,41.0,79.0,8.52
S056,Student_56,Female,22.0,AI & DS,88.0,47.0,53.0,62.0,8.17
S089,Student_89,Female,20.0,CSE,96.0,67.0,43.0,93.0,6.38
S027,Student_27,Female,21.0,AI & DS,100.0,48.0,36.0,67.0,7.02
S043,Student_43,Female,21.0,CSE,71.0,49.0,58.0,81.0,8.92
S070,Student_70,Female,18.0,IT,83.0,35.0,50.0,63.0,5.96
S016,Student_16,Male,17.0,EEE,62.0,58.0,77.0,47.0,8.09
S041,Student_41,Male,17.0,AI & DS,61.0,86.0,83.0,91.0,
S016,Student_16,Male,17.0,EEE,62.0,58.0,77.0,47.0,8.09
S010,Student_10,Female,18.0,AI & DS,57.0,82.0,84.0,95.0,7.25
S073,Student_73,Male,21.0,ECE,89.0,35.0,87.0,69.0,6.39
S012,Student_12,Male,20.0,AI & DS,78.0,76.0,67.0,73.0,9.77
S048,,Male,17.0,ECE,100.0,94.0,89.0,35.0,5.74
S086,Student_86,Male,19.0,CSE,57.0,50.0,47.0,45.0,9.37
S029,Student_29,Female,21.0,AI & DS,56.0,100.0,,40.0,5.14
S094,Student_94,Female,17.0,CSE,78.0,44.0,63.0,55.0,6.85
S006,Student_6,Female,18.0,ECE,95.0,51.0,36.0,38.0,8.84
S067,Student_67,Female,22.0,IT,98.0,46.0,86.0,97.0,7.37
S066,Student_66,Female,18.0,ECE,71.0,43.0,59.0,61.0,9.48
S036,Student_36,Male,19.0,AI & DS,87.0,96.0,55.0,81.0,6.75
S017,Student_17,Female,22.0,AI & DS,90.0,47.0,46.0,92.0,6.79
S050,Student_50,Female,18.0,EEE,92.0,40.0,57.0,37.0,7.46
S035,Student_35,Female,20.0,ECE,58.0,97.0,70.0,,5.07
S008,Student_8,Male,20.0,IT,73.0,43.0,58.0,65.0,9.25
S006,Student_6,Female,18.0,ECE,95.0,51.0,36.0,38.0,8.84
S028,Student_28,Female,17.0,IT,72.0,49.0,69.0,72.0,5.67
S020,Student_20,Male,18.0,AI & DS,74.0,91.0,74.0,73.0,7.6
S082,Student_82,Female,19.0,IT,75.0,91.0,,67.0,5.2
S026,Student_26,Female,20.0,ECE,72.0,50.0,80.0,90.0,9.38
S063,Student_63,Male,19.0,IT,73.0,89.0,86.0,62.0,8.2
S014,Student_14,Male,22.0,AI & DS,78.0,84.0,95.0,73.0,6.14
S025,Student_25,Female,20.0,IT,83.0,42.0,46.0,59.0,7.8
S004,Student_4,Male,,IT,86.0,61.0,50.0,51.0,9.98
S018,Student_18,Female,21.0,ECE,,94.0,99.0,54.0,5.57
S039,Student_39,Male,19.0,AI & DS,74.0,92.0,58.0,53.0,7.19
S009,Student_9,,18.0,AI & DS,70.0,77.0,46.0,53.0,6.24
S079,Student_79,Male,22.0,CSE,85.0,60.0,69.0,90.0,6.82
S007,Student_7,Male,18.0,CSE,89.0,67.0,66.0,70.0,9.72
S065,Student_65,Male,21.0,EEE,89.0,57.0,46.0,98.0,6.73
S037,Student_37,Female,19.0,EEE,68.0,56.0,70.0,55.0,7.95
S090,Student_90,Female,18.0,AI & DS,85.0,57.0,84.0,61.0,9.03
S057,Student_57,Female,19.0,EEE,75.0,64.0,83.0,42.0,6.2
S046,Student_46,Female,17.0,AI & DS,76.0,42.0,71.0,49.0,9.31
S055,Student_55,Male,20.0,ECE,81.0,50.0,93.0,58.0,6.64
S044,Student_44,Female,18.0,IT,87.0,88.0,57.0,83.0,6.98
S051,Student_51,Male,17.0,IT,92.0,81.0,64.0,50.0,6.29
S068,Student_68,Male,19.0,IT,82.0,35.0,87.0,51.0,8.34
S047,Student_47,Female,20.0,AI & DS,76.0,87.0,46.0,65.0,9.75
S069,Student_69,Female,17.0,ECE,,92.0,57.0,67.0,5.86
S062,Student_62,Male,22.0,,59.0,92.0,62.0,84.0,5.69
S026,Student_26,Female,20.0,ECE,72.0,50.0,80.0,90.0,9.38
S080,Student_80,Female,21.0,AI & DS,89.0,50.0,52.0,64.0,7.52
S042,Student_42,Male,19.0,CSE,57.0,76.0,70.0,52.0,7.57
S059,Student_59,Male,17.0,CSE,87.0,51.0,95.0,42.0,5.64
S049,Student_49,Female,20.0,CSE,84.0,39.0,47.0,88.0,9.63
S036,Student_36,Male,19.0,AI & DS,87.0,96.0,55.0,81.0,6.75
S058,Student_58,Male,19.0,IT,84.0,53.0,46.0,70.0,5.38
S076,Student_76,Female,20.0,IT,78.0,98.0,73.0,59.0,5.6
S033,Student_33,Female,17.0,IT,90.0,59.0,92.0,66.0,6.06
S095,Student_95,Female,21.0,AI & DS,86.0,53.0,71.0,89.0,7.42
S060,Student_60,Male,19.0,ECE,82.0,97.0,53.0,92.0,5.64
S064,Student_64,Male,17.0,ECE,58.0,96.0,50.0,75.0,5.91
S085,Student_85,Male,21.0,CSE,87.0,96.0,80.0,83.0,5.41
S038,Student_38,Male,17.0,AI & DS,75.0,92.0,44.0,70.0,6.96
S030,Student_30,Female,21.0,AI & DS,89.0,66.0,60.0,92.0,8.78
S002,Student_2,Female,18.0,IT,59.0,57.0,35.0,42.0,9.06
S053,Student_53,Male,21.0,IT,62.0,74.0,96.0,46.0,9.9
S022,Student_22,Male,18.0,AI & DS,79.0,79.0,78.0,37.0,7.6
S003,Student_3,Male,20.0,IT,91.0,100.0,38.0,99.0,10.0
S024,Student_24,Female,20.0,CSE,79.0,99.0,47.0,97.0,7.76
S088,Student_88,Male,22.0,IT,79.0,73.0,76.0,,5.31
S092,Student_92,Female,21.0,IT,94.0,68.0,100.0,67.0,5.92
S075,Student_75,Male,17.0,IT,91.0,,92.0,81.0,5.44
S087,Student_87,Female,19.0,ECE,72.0,82.0,74.0,60.0,9.6
S083,Student_83,Male,21.0,AI & DS,86.0,63.0,51.0,99.0,9.0
S021,Student_21,Female,21.0,EEE,89.0,70.0,77.0,35.0,8.86
S061,Student_61,Male,21.0,AI & DS,87.0,53.0,43.0,94.0,5.76
S072,Student_72,Female,20.0,CSE,60.0,82.0,73.0,80.0,5.84
S015,Student_15,Female,20.0,IT,65.0,59.0,85.0,79.0,8.36
S093,Student_93,Female,22.0,AI & DS,100.0,86.0,39.0,35.0,
S052,Student_52,Female,22.0,CSE,99.0,89.0,51.0,91.0,7.3
